Index|Name|Transliteration|Meaning|Explanation
1|الله|ALLAH c.c.|Tüm isim ve sifatlari kendinde toplayan.|ALLAH c.c.  Gördügümüz görmedigimiz, bildigimiz bilmedigimiz bütün âlemlerin sâhibi ve mâliki, kâinatin yegâne yaraticisi, her türlü övgüye ve ibâdete lâyik olan yüceler yücesi Rabbimizin doksan dokuz isminin bütün hususiyetlerini kendinde toplayan en kapsamli özel adidir. Allah Teâlâ; varligi zorunlu olandir, bütün övgülere lâyik olandir; birdir, tektir, essizdir, dogmamistir, dogurmamistir. Varliginin baslangici ve sonu yoktur. Hiçbir seye muhtaç degildir. Hiç bir seye benzemez; hiç bir sey de O’na benzemez. Her türlü kemâl sifatlarla muttasiftir, her türlü eksikliklerden yücedir.Allah ism-i celâli, bütün Esmâ-i Hüsnâ’nin anlamlarini ve husûsiyetlerini kendisinde toplayan, sadece Allah’in zâtina mahsus bir özel isimdir. Hiçbir varliga isim olarak verilemez. Arapça da dahil hiç bir dilde herhangi bir kelime “Allah” isminin yerini tutamaz. Bu sebeple hiç bir dile çevrilmez. Zâten özel isimler baska dillere çevrilmeksizin oldugu gibi kullanilir. Arapçadaki “Ilâh” ve “Ma’bûd”; Farsçadaki “Hudâ” ve “Yezdan”; Türkçedeki “Tanri” ve “Çalab”; Ingilizcedeki “God”; Fransizcadaki “Dieu” vb. çesitli dillerde tanriyi ifâde için kullanilan kelimeler hiçbir sekilde “Allah” isminin yerini tutamaz.Allah ism-i celâlinin pek çok özelliginden birisi sudur: Bes harften olusan “Allah” isminin basindaki elif atilsa “lillâh” kalir. “Allah için” demektir ve ayni anlam korunur. Birinci “lâm” atilsa “lehû” kalir. “O’nun için/Allah için” demektir. Ayni anlam yine korunur. Ikinci “lâm” atilsa, “hû” kalir. Hû’nun asli “hüve”dir. “Hüve = O” da, Allah’a isaret eder. Bunlarin her birisi Kur’ân-i Kerîm’de geçmektedir.
2|الرَّحْمَنُ|Er-Rahmân |Rahmetiyle muamele eden, esirgeyen.|Er-Rahmân: Rahmet ve merhamet; acima, bagislama, kalp yufkaligi, sefkat ve ihsân anlamlarina gelir. “Rahmân” ve “Rahîm” isimleri, “çok sefkat ve merhamet eden” anlamindadir. Kur’ân’da “Rahmân” ismi elli yedi, “Rahîm” ismi yüz on bes defa Allah’a nisbet edilmektedir. “Rahmân”, Allah’in zâtî ismi, “Rahîm” ise fiilî isimlerindendir. “Rahmân”, zâtî ismi oldugundan Allah’tan baskasina isim olarak verilemez. Fiilî isimlerinden olan “Rahîm” ise baskasina isim olarak verilebilir. Allah’in bu ismi bir kulda tecelli ederse, o kul merhamet kanatlarini bütün yaratiklara açar. Allah’in rahmeti bütün yaratilmislari kapsar. Rahmetiyle, inanan inanmayan bütün insanlara riziklarini ve nimetlerini bol bol vermektedir.Hz. Peygamber Allah’in rahmetini söyle anlatir: “Süphesiz Allah’in yüz rahmeti vardir. Bunlardan bir tanesini yaratiklarina vermistir. Yaratiklarin birbirlerine acimalari bu rahmet sebebiyledir. Allah’in rahmetinin doksan dokuzu kiyâmet günü içindir.”
3|الرَّحِيمُ|Er-Rahim |Merhamet eden, bagislayan.|Er-Rahim: Pek çok merhamet edici, verdigi nimetleri iyi kullananlari daha büyük nimetler vermek suretiyle mükâfâtlandirici anlamindadir. Rahmân ve rahîm, rahmet kökünden türemistir. Ikisi de Allah’in engin merhamet ve sefkatini bildirir. Ancak aralarinda söyle bir fark vardir: Rahmân ismi dünyada mü’min kâfir herkesi kusatmisken, rahîm, sadece inananlara mahsustur. Bu bakimdan Allah, âhirette sadece mü’minlere rahmet ederek, onlari cennetine koyacaktir. Rahmân ve rahîm isimleri iki türlü rahmet ifâde eder. Rahmân isminin ifâde ettigi rahmet, hiç bir sarta, kesbe ve irâdeye bagli olmayarak bahsolunan rahmettir. Bu bütün yaratiklari kapsayan bir rahmettir. Bunda çalisan çalismayan, itaatli suçlu, inançli inançsiz ayirimi yoktur. Rahîm isminin ifâde ettigi rahmet ise, Rahmân’in lütfu olan rahmeti iyiye kullanarak çalisanlara bir mükâfât olmak üzere verilen rahmettir. Bu, en az bire ondur. Çalisanin samimiyetine göre yedi yüz katina ve hatta daha fazla katlara çikabilir. Elbette çalisanla çalismayan bir olmaz.
4|الْمَلِكُ|El-Melik |Mülkün gerçek sahibi, mülk ve saltanati devamli olan.|El-Melik: Görülen ve görülmeyen bütün âlemlerin, bütün kâinatin tek sahibi ve mutlak surette tek hükümdâri demektir. Kendisine ibâdet edilmeye yegâne lâyik olan O’dur. O’nun istedigi olur, istemedigi olmaz. O, bir seyin olmasini isterse, sadece “ol” der, o da derhal olur. Olmasini istemedigi hiçbir sey de asla varlik sahasina çikamaz. Bütün evren, yaratilmis olan her sey, mükemmel bir düzen içerisinde islemektedir. Asla bir basi bosluk ve düzensizlik yoktur. Bütün idâre tek bir yerden geliyor. O Allah, dünya ve âhiret hayatindaki her seye gerçek anlamda ve kayitsiz sartsiz hâkim ve mâlik olan ve diledigi gibi tasarrufta bulunandir.
5|الْقُدُّوسُ|El-Kuddûs |Her türlü eksiklik ve ayiplardan münezzeh olan.|El-Kuddûs: Hatadan, gafletten, âcizlikten, her türlü eksiklikten uzak, bütün kemâl sifatlari üzerinde toplamis, bütün övgülerin üstünde olan demektir. Her türlü ayiptan, kusurdan ve ihtiyaçtan uzak olan, her türlü hayir ve bereketin kaynagi olan mübarek zât demektir. Her türlü eksiklikten, lekeden, pastan, kirden son derece temiz demektir. Gördügümüz görmedigimiz, bildigimiz bilmedigimiz her seyi yaratan Allah Teâlâ, kâinâti akillara durgunluk verecek bir düzen ile yaratmistir.
6|السَّلاَمُ|Es-Selâm |Kullarini selâmete çikaran.|Es-Selâm: Her türlü eksiklikten, ayiptan, kusurdan, yaratilmislara özgü degisim ve yok olustan münezzeh ve sâlim olan; kullarini her türlü kötülüklerden, tehlikelerden selâmete çikaran; Cennetteki kullarina selam veren demektir. Allah, gerek dünyada, gerekse âhirette tehlikeye düsen kullarini tehlikelerden kurtarip selamete çikarandir. Hz. Peygamber, her namazdan sonra; “Allah’im! Sen’sin selâm ve Sen’dendir selâm!” buyurmustur. Selâm, Esmâ-i Hüsnâ’dan biri oldugu için Müslüman olmayanlara bu lafizla selam verilmez. Müslüman olmayanlar, dua ve esenlik dilegi olan “selâm”i hak etmemislerdir.
7|الْمُؤْمِنُ|El-Mü’min |Gönüllerde iman isigi uyandiran.|El-Mü’min: Güven veren, va’dine güvenilen; inananlari korku ve endiseden güvende kilan; mü’minlerin îmân ve samimiyetini tasdik eden; mûcizeler vermek suretiyle Peygamberlerinin dogrulugunu isbatlayan; kendisine siginanlari koruyan, emniyetle rahatlandiran demektir.Allah’in kullarina en büyük nimetlerinden biri, îmândir. Digeri, emniyettir. Insan; cani, mali, irzi, namusu için her zaman bir endise ve korku içinde kalsaydi, bu ne büyük bir azap olurdu. Bu isim bir kulda tecellî edince, o kulun kalbine imân iyice yerlesir. O, güvenilir biri olur. Allah Teâlâ, mü’min isminin bir tecellisi olarak inananlari korkulardan güvende kiliyor.
8|الْمُهَيْمِنُ|El-Müheymin |Gözeten ve koruyan.|El-Müheymin: Kâinatin bütün islerini gözetleyip yöneten; bütün yaratiklarini gözetip koruyan; korkulardan emin kilan demektir. Yine kullarina asla zulmetmeyen; her söyledigi ve yaptigina güvenilen; bütün kullarini hükmü altina alan; olup biten her seyden haberdâr olan ve Peygamberi’ne indirdigi vahyin dogruluguna taniklik eden; kullarini dâimâ gözetim altinda bulunduran; mü’minlere güven, sevgi ve huzur veren demektir.
9|الْعَزِيزُ|El-Aziz |Maglup edilmesi asla mümkün olmayan.|El-Aziz: Yenilmesi mümkün olmayan gâlip; dengi ve benzeri bulunmayacak sekilde degerli ve serefli; güçlü ve yenilmez demektir. Allah Teâlâ yegâne güç ve kuvvet sahibi olan mutlak gâliptir. O’nu âciz birakacak hiç bir güç yoktur. Diledigini izzetli, serefli ve üstün kilar.
10|الْجَبَّارُ|El-Cebbâr |Istedigini mutlak yapan, diledigine muktedir olan.|El-Cebbâr: Diledigini her durumda gerçeklestiren; istedigini zorla yaptirmaya muktedir olan; yaratilmislarin halini iyilestiren; parçalanmis, dagilmis ve bozulmus olani düzeltip onaran; her seyi tasarrufu altina alan demektir. Allah Teâlâ, kirilanlari onarir, eksikleri tamamlar, her türlü perisanliklari düzeltir, yoluna koyar. Düzeni bozulan her seyi düzene koyar. Yaratiklarinin ihtiyaçlarini giderir. Yasama ve rizik sebeplerini saglar. Kirilan ümitlerin canlanmasi, sasirtici perisanliklarin iyi hale gelmesi ve yola konmasi için tek basvuru kaynaginin Allah Teâlâ oldugunu bilmeli, yanlis yerlere basvurmamalidir.
11|الْمُتَكَبِّرُ|El-Mütekebbir |Her seyde büyüklügünü gösteren.|El-Mütekebbir: Her zaman ve her yerde büyüklügünü gösteren; zât ve sifatlarinin mâhiyeti bilinemeyecek kadar ulu, yaratilmislarin sifatlarindan yüce olan; azgin ve zâlim insanlari mutlak gücüne boyun egmek zorunda birakan demektir. Büyüklük ve yücelik, ancak Allah’a mahsustur. Insan çalisip çabalamali büyük adam olmali, ama asla büyüklenmemelidir. Yaratilmislar içinde ilk defa kendini büyük gören Iblis olmus ve bu durum onun lanetlenmesine, cehenneme girmesine sebep olmustur.
12|الْخَالِقُ|El-Hâlik |Her seyi yoktan var eden.|El-Hâlik: Her seyi yaratan, yoktan var eden demektir. Allah Teâlâ, esyayi, her hangi bir örnegi ve benzeri olmadan yaratandir. Yarattigi her seyi bütün ayrintilariyla bilir. Her seyin varligini, varligi boyunca görüp geçirecegi halleri bilir, olaylari tayin ve tesbit eder, ona göre yaratir. Demek ki hâlik isminin iki anlami vardir: birincisi; bir seyin nasil olacagini tayin ve tesbit etmek, ikincisi, o takdire uygun olarak o seyi yaratmak, var etmek. Allah Teâlâ, her seyi ezelde takdir etmis, takdir ettiklerinin zamani gelince bunlari yaratmis, varlik sahasina çikarmistir. O’nun ilim, irâde, takdir ve yaratmasindan hiç bir sey uzak kalamaz.
13|الْبَارِئُ|El-Bârî |Her seyi uygun bir tarzda ve birbirine uygun yaratan.|El-Bârî: Bir örnegi ve maddesi olmaksizin yaratan; evrenin bütün parçalarini âhenkli ve düzenli olarak meydana getiren demektir. Allah Teâlâ, zât ve sifatlari bakimindan yaratilmislara asla benzemez. Yarattigi her seyi hiç bir modele bagli kalmaksizin yarattigi gibi, tam bir uygunluk ve kusursuzluk halinde yaratmistir. Bir kulda bu isim tecellî edince, o kul yaptigi her seyi adâletle, hakkâniyetle ve saglam yapar.
14|الْمُصَوِّرُ|El-Musavvir |Her seye bir sekil ve hususiyet verip tasvir eden.|El-Musavvir: Varliklari çesitli sekillerde yaratan; yarattigi her varliga ayri bir sekil ve husûsiyet veren demektir. Hâlik, bâri’ ve musavvir isimlerinin üçü de yaratici anlamindadir. Bunlardan hâlik; bir örnegi, esi, benzeri olmaksizin ilk defa yaratan demektir. Bâri’; yarattigi seyi düzgün yaratan, yarattigi canlilari, organlari yerli yerinde, uyumlu yaratan demektir. Musavvir de; yarattigi her seye ayri bir sekil, biçim ve husûsiyet veren demektir. Yeryüzünde bulunan milyarlarca insanin her bir organinin bir digerine benzemeyisi, Allah’in yaraticiliginin mükemmelligine delildir. Bu isimden nasip alan kullar, Allah’in yarattigi her seye hayranlikla ve ibretle bakarlar.
15|الْغَفَّارُ|El-Gaffâr |Kullarinin günahlarini örten, günahlarini bagislayan.|El-Gaffâr: Dâimâ affeden; kullarinin günahlarini örten, ayip ve kusurlarini bagislayan; tekrarlanan günahlari bagislayan; magfireti, bagislamasi sonsuz olan demektir. Mânevî kirlerden, günahlardan temizlenmek için Allah Teâlâ’ya istigfar etmeli, magfiret ve bagislanma dilemeliyiz.
16|الْقَهَّارُ|El-Kahhâr |Her seye, her istedigini yapacak surette galip ve hakim olan.|El-Kahhâr:  Yenilmeyen, yegane gâlip demektir. Allah Teâlâ, her seye, her istedigini yapacak sekilde gâlip ve hâkimdir. Kuvvet ve kudretiyle her seyi içinden ve disindan kusatmistir. O’na karsi her seyin boynu büküktür. Diledigini istedigi anda yok ve helak eder.
17|الْوَهَّابُ|El-Vehhâb |Çok fazla ihsan eden.|El-Vehhâb: Karsilik beklemeden bol bol veren; hibesi ve lütfu çok olan demektir. Allah Teâlâ, bagisi çok olandir, karsiliksiz verendir, nimetlerinin ardi arkasi kesilmeyendir. Inanan inanmayan ayirimi yapmaksizin bütün kullarina nimetlerini bol bol verendir. Rahmeti geregi lütfu bol olan ve hayirli islerde basariya ulastirandir.
18|الرَّزَّاقُ|Er-Rezzâk |Bütün mahlukatin rizkini veren ve ihtiyacini karsilayan.|Er-Rezzâk: Bedenlerin ve ruhlarin gidasini, bütün yaratiklarinin rizkini yaratip veren demektir. Allah Teâlâ, yarattigi bütün yaratiklarinin rizkina kefildir. Yerde, gökte, yer altinda, denizde vb. nerede canli varsa hepsinin rizkini yaratan Allah Teâlâ’dir. Hepsinin rizkini tam vaktinde ve unutmadan verir. Ancak insanlara, yarattigi riziklari mesrû yoldan arayip bulmalarini emretmistir. Bu isimden nasip alan kul, rizkin degil, Rezzâk’in pesinden kosar. Her nimette O’nu hatirlar. Allah’in cömertligine hayran kalir.
19|الْفَتَّاحُ|El-Fettâh |Her türlü zorluklari kolaylastiran, darliktan kurtaran.|El-Fettâh: Iyilik kapilarini açan; hakemlik yapan; bütün anlasmazliklarda hakemlik yaparak mutlak adâleti gerçeklestiren; zulme ugrayanlara yardim eden; mü’min kullarini zafere ulastiran; mü’minlere mânevî kapilari açip kalplerden kederleri gideren; her derde çare bulan; her türlü engelleri kaldiran demektir. Allah Teâlâ, yürekten, tasalari, kederleri giderendir. Insani sikintilardan kurtarip gögsüne genislik verendir. Anlasilmasi zor ilimlerin üzerindeki zorlugu gidererek anlasilmasini kolaylastirandir. Allah, insana hidâyet yollarini açar.
20|اَلْعَلِيْمُ|El-Alîm |Her seyi en ince noktasina kadar bilen, ilmi ebedi ve ezeli olan.|El-Alîm: Hakkiyla bilen demektir. Allah Teâlâ, zaman ve yer kaydi olmaksizin büyük küçük, gizli açik her seyi bilendir. Olmusu, olani, olacagi en mükemmel bir sekilde bilir. Hiç bir sey O’nun bilgisi disina çikamaz. O’nun bilemeyecegi bir sey düsünmek mümkün degildir.
21|الْقَابِضُ|El-Kâbid |Diledigine darlik veren, sikan, daraltan.|El-Kâbid: Rizki daraltan; canlilarin ruhlarini alip hayatlarina son veren demektir. Allah Teâlâ, istedigini sikar, daraltir; istedigini genisletir. Istediginden verdigi zenginligi, çoluk çocugu, hayat zevkini, gönül ferahligini aliverir. ihsânettigi seyleri daraltir, azaltir. Günesin dogmasiyla karanligi giderir. Kuslara gökyüzünde uçma imkâni verir, onlari düsmekten korur. Bu ismi “Bâsit” ismiyle beraber degerlendirmelidir.
22|الْبَاسِطُ|El-Bâsit |Diledigine bolluk veren, açan, genisleten.|El-Bâsit: Rizki genisleten; ruhlari bedenlerine dagitan demektir. Allah Teâlâ, kulunu darliktan çikaran, sikintidan kurtarandir. Ilâhî imtihanin gerçeklesmesi için bazan sikar, bazan genisletir. Bazan darlik, sikinti verir. Bazan bolluk, rahatlik, huzur verir. Bu ismi, “Kâbid” ismiyle beraber degerlendirmelidir.
23|الْخَافِضُ|El-Hâfid |Yukaridan asagiya indiren, alçaltan.|El-Hâfid: Alçaltan; zillete düsüren; yukaridan asagiya indiren demektir. Allah Teâlâ, kâfirleri, zâlimleri, zorbalari alçaltir; mü’minleri, dostlarini yükseltir. Istedigi kulunu yukaridan asagiya ativerir. En yüksek mertebelerden en asagi mertebelere indiriverir. Allah’in düsürdügünü hiç kimse yükseltemez, yükselttigini de hiç kimse alçaltamaz. Bu ismi “Râfi’” ismiyle beraber degerlendirmelidir.
24|الرَّافِعُ|Er-Râfî |Yukari kaldiran, yükselten.|Er-Râfî: Yücelten, yükselten, yukari kaldiran, seref veren demektir. Allah Teâlâ, diledigi kuluna seref bahsederek yükseltir, diger kullarindan üstün kilar. Diledigini zengin kilar, serefli kilar, saygideger kilar. Diledigine îmân bahseder, sâlih ameller islemesine ve cennetine girmesine imkân verir. Bu ismi, “Hâfid” ismiyle beraber degerlendirmelidir. Râfi’; dostlarinin tâat ve amellerini kabul edip kendisine yaklastiran, dünyada serefli kilan demektir. Hâfid de; kendisine itâat etmeyenleri kendisinden uzaklastiran, mertebelerini düsüren demektir.
25|الْمُعِزُّ|El-Muiz |Izzet verip agirlayan.|El-Muiz: Üstün kilan, izzet ve seref veren; mülkü diledigine veren demektir. Allah Teâlâ, kendisine inananlari yükseltir, sereflendirir, baskalarina üstün kilar. Îmân ehli, Allah’in azîz ve degerli kildigi kimselerdir. “Muizz” ismini “Müzill” ismi ile beraber degerlendirmelidir.
26|المُذِلُّ|El-Muzil |Zillete düsüren, hor ve hakir eden.|El-Muzil: Zillete düsüren, hor ve hakir kilan, rezil ve perisan eden, alçaltan demektir. Gönülleri dünya hirsi ile yanip tutusan kisiler, Allah’in zelil kildiklaridir. Bunlarin siari dünya çikari için nefsini alçaltmaktir. Bunlar yarin Allah’in huzuruna yüzleri kararmis olarak çikacaklardir. “Müzill” ismini, “Muizz” ismi ile beraber degerlendirmelidir.
27|السَّمِيعُ|Es-Semî |Her seyi isiten.|Es-Semî: Sonsuz isiten, her türlü kisitlamadan yüce olarak gizli açik her seyi isiten; isitilecek seyler kendisine gizli kalmayan; dilek, dua ve yakarislari kabul eden demektir. Allah Teâlâ, ister açik, ister gizli bütün sesleri, fisiltilari isitir. Kendisine içinden hamd edenin hamdini isiterek onu mükâfâtlandirir. Dua edenlerin dualarini kabul eder. Allah’in isitmesi kullarinki gibi kulak ve ses gibi bazi vasitalarla degildir.
28|الْبَصِيرُ|El-Basîr |Her seyi gören.|El-Basîr: Sonsuz görücü; her seyi gören, bilen; kendisinden hiç bir sey saklanamayan demektir. Allah Teâlâ’nin görmesi de isitmesi ve diger isim ve sifatlari gibi sonsuzdur. Her hangi bir organ ve vasita ile degildir. Görme konusu olan her seyi görür. Açikta olanlari gördügü gibi gizli olanlari da görür. Disimizi gördügü gibi içimizi de görür. O hâlde devamli bir sekilde Rabbimiz tarafindan görüldügümüzü ve gözetlendigimizi unutmamamiz, buna göre söz ve davranislarimiza dikkat etmemiz gerekir.
29|الْحَكَمُ|El-Hakem |Hikmet sahibi olan, yaptigi her iste hikmeti gözeten.|El-Hakem: Hükmeden, hakki yerine getiren; hüküm yetkisi kendisine ait olan; son hükmü verecek olan demektir. Allah Teâlâ, hâkimdir. Her seyin hükmünü O verir. Verdigi hükmü tamamiyle yerine getirir. O’nun hükmünü engelleyecek, bozacak, degistirecek, geri biraktiracak hiç kimse yoktur. Kiyâmet gününde Allah Teâlâ hükmünü verecek, adâlet tam olarak gerçeklesecek ve herkes hak ettiginin karsiligini tam olarak alacaktir. Hiç kimseye en küçük bir haksizlik yapilmayacaktir.
30|الْعَدْلُ|El-Adl |Son derece adaletli olan.|El-Adl: Mutlak adâlet sahibi, çok adâletli, asla zulmetmeyen; her seyi yerli yerine koyan demektir. Allah Teâlâ, çok adâletlidir. Hiç kimseye en küçük bir haksizlik yapmaz. Herkes neyi hak ettiyse, herkese hakkini tam olarak verir. Yaptigi her sey, akla, mantiga, hikmet ve maslahata uygundur. Bu isimden nasip alan kul, zulmün her çesidinden kaçinir; kendi aleyhine bile olsa adâletten ayrilmaz.
